pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,884.4580267892238
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,897.2859565504825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,901.0744299836731
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,904.1058969326702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,903.4041847908675
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,895.9966188781386
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,894.8737356213007
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,884.5847735508044
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,894.5951605467067
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,898.0424827668194
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,898.6686586845378
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,897.9669465427351
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,891.0900850591856
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,890.6734173090456
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,883.4272856291377
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,894.303247350218
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,898.6398337385649
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,898.6917582116328
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,897.7778145749176
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,891.3395814237183
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,890.2704210881825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,856.9393803628698
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,869.2967048929991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,873.4383365960605
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,874.8246132257273
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,878.9007552231008
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,856.369828833675
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,857.5743753842066
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,875.3112295461156
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,873.0180611838787
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,874.8438224365755
